gene	start	end	length	strand	gc_content	genetic_code	rbs_motif	marker	evalue	bitscore	uscg	plasmid_hallmark	virus_hallmark	taxid	taxname	annotation_conjscan	annotation_amr	annotation_accessions	annotation_description
s34.ctg000048c_130	130562	132232	1671	-1	0.571	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
s34.ctg000048c_131	132246	133718	1473	-1	0.582	11	AGGAG	GENOMAD.168696.PC	4.65e-15	81	0	0	0	1	NA	NA	NA	PF07368;TIGR00407;COG0014;K18601	gamma-glutamyl phosphate reductase
s34.ctg000048c_132	133732	134319	588	-1	0.568	11	GGAG/GAGG	GENOMAD.146696.CP	1.822e-56	196	0	0	0	1	NA	NA	NA	PF13022;PF17940;K02167;TIGR03384;COG3226	transcriptional repressor BetI
s34.ctg000048c_133	134448	134858	411	1	0.545	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
s66.ctg000085c_1	3	1580	1578	-1	0.555	11	None	GENOMAD.191400.PC	1.317e-15	83	0	0	0	1	NA	NA	NA	NA	NA
s66.ctg000085c_2	1623	2003	381	-1	0.533	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
s66.ctg000085c_3	1990	2319	330	-1	0.539	11	GGAG/GAGG	GENOMAD.086720.PP	0.0006283	40	0	0	0	1	NA	NA	NA	NA	NA
s66.ctg000085c_4	2635	2832	198	1	0.465	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
s66.ctg000085c_5	2822	3112	291	-1	0.553	11	None	GENOMAD.166345.PV	2.227e-10	58	0	0	0	1	NA	NA	NA	NA	NA
s66.ctg000085c_6	3112	4236	1125	-1	0.421	11	GGA/GAG/AGG	GENOMAD.024638.PP	3.688e-162	511	0	0	0	1	NA	NA	NA	NA	NA
s66.ctg000085c_7	4271	5863	1593	-1	0.480	11	GGA/GAG/AGG	GENOMAD.108535.PP	2.398e-170	543	0	0	0	1	NA	NA	NA	PF04471;COG0792	Predicted endonuclease distantly related to archaeal Holliday junction resolvase
s66.ctg000085c_8	6085	6555	471	-1	0.408	11	GGAG/GAGG	GENOMAD.136844.PV	6.141e-42	152	0	0	0	1	NA	NA	NA	NA	NA
s66.ctg000085c_9	6651	7508	858	-1	0.452	11	GGA/GAG/AGG	GENOMAD.053145.PP	3.045e-129	411	0	0	0	1	NA	NA	NA	PF02432	Fimbrial, major and minor subunit
s66.ctg000085c_10	7745	8236	492	-1	0.581	11	GGAG/GAGG	GENOMAD.034512.PP	2.329e-89	289	0	0	0	1	NA	NA	NA	PF17547	NA
s66.ctg000085c_11	8271	9047	777	-1	0.547	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
s66.ctg000085c_12	9040	11484	2445	-1	0.587	11	GGAG/GAGG	GENOMAD.048059.VV	0.0001303	48	0	0	1	2561	Caudoviricetes	NA	NA	PF03903	NA
s66.ctg000085c_13	11499	12041	543	-1	0.580	11	GGA/GAG/AGG	GENOMAD.032729.PP	4.599e-107	341	0	0	0	1	NA	NA	NA	PF14855;COG3539;K07351	Pilin (type 1 fimbria component protein)
s66.ctg000085c_14	12083	12394	312	-1	0.407	11	AGGAG	GENOMAD.171845.PV	8.635e-23	94	0	0	0	1	NA	NA	NA	PF03333	Adhesin biosynthesis transcription regulatory protein
s66.ctg000085c_15	13093	13458	366	1	0.538	11	AGxAGG/AGGxGG	GENOMAD.077564.PP	6.033e-75	245	0	0	0	1	NA	NA	NA	NA	NA
s66.ctg000085c_16	13458	14645	1188	1	0.557	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
s66.ctg000085c_17	14825	15520	696	-1	0.504	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
s66.ctg000085c_18	15798	17144	1347	-1	0.477	11	AGGAG	GENOMAD.011189.PP	1.215e-46	178	0	0	0	1	NA	NA	NA	PF06666	NA
s66.ctg000085c_19	17498	18100	603	1	0.498	11	GGAG/GAGG	GENOMAD.123945.PV	7.648e-120	379	0	0	0	1	NA	NA	NA	PF04352;COG3109	ProQ/FINO family
s66.ctg000085c_20	18156	18650	495	1	0.376	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
s66.ctg000085c_21	18650	18916	267	1	0.386	11	GGA/GAG/AGG	GENOMAD.009327.PP	4.184e-31	117	0	0	0	1	NA	NA	NA	NA	NA
s66.ctg000085c_22	19107	19394	288	-1	0.375	11	AGGAG	GENOMAD.009971.PP	4.586e-49	169	0	0	0	1	NA	NA	NA	NA	NA
s66.ctg000085c_23	19500	19775	276	-1	0.493	11	None	GENOMAD.137354.PC	1.311e-13	67	0	0	0	1	NA	NA	NA	PF05016;COG3668;TIGR02385;K19093	ParE toxin of type II toxin-antitoxin system, parDE
s66.ctg000085c_24	19775	20053	279	-1	0.552	11	GGA/GAG/AGG	GENOMAD.098049.PC	6.063e-37	134	0	0	0	1	NA	NA	NA	PF19807;COG3905;TIGR04563	Predicted transcriptional regulator
s66.ctg000085c_25	20963	22264	1302	-1	0.550	11	GGAG/GAGG	GENOMAD.140394.PV	3.389e-71	250	0	1	0	1	NA	NA	NA	PF02387;TIGR03474	incFII family plasmid replication initiator RepA
s66.ctg000085c_26	23147	23434	288	1	0.441	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
s66.ctg000085c_27	23876	24409	534	1	0.431	11	AGGA/GGAG/GAGG	GENOMAD.053311.PP	4.937e-88	286	0	0	0	1	NA	NA	NA	PF02357;K05785;TIGR01955;COG0250	transcription elongation factor/antiterminator RfaH
s66.ctg000085c_28	24663	25346	684	1	0.499	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
s66.ctg000085c_29	25510	25764	255	1	0.506	11	AGGAG	GENOMAD.023152.PP	2.624e-26	103	0	1	0	1	NA	NA	NA	PF10623	Plasmid conjugative transfer protein PilI
s66.ctg000085c_30	25856	26449	594	1	0.365	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
s66.ctg000085c_31	26778	27845	1068	1	0.502	11	GGAG/GAGG	GENOMAD.084578.PP	2.336e-19	93	0	0	0	1	NA	NA	NA	PF10671	Toxin co-regulated pilus biosynthesis protein Q
s66.ctg000085c_32	27845	28282	438	1	0.484	11	GGA/GAG/AGG	GENOMAD.041277.PP	5.322e-30	117	0	0	0	1	NA	NA	NA	PF07419	PilM
s66.ctg000085c_33	28296	29978	1683	1	0.485	11	GGA/GAG/AGG	GENOMAD.148144.PC	1.091e-96	330	0	0	0	1	NA	NA	NA	PF00263;TIGR02520;K12282;COG1450	type IVB pilus formation outer membrane protein, R64 PilN family
s66.ctg000085c_34	29971	31266	1296	1	0.491	11	AGGAG	GENOMAD.049005.PP	1.704e-35	144	0	0	0	1	NA	NA	NA	PF06864	Pilin accessory protein (PilO)
s66.ctg000085c_35	31253	31705	453	1	0.439	11	AGxAGG/AGGxGG	GENOMAD.055276.PP	4.228e-26	106	0	0	0	1	NA	NA	NA	PF17456;TIGR03021	type IV pilus biogenesis protein PilP
s66.ctg000085c_36	31716	33269	1554	1	0.473	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
s66.ctg000085c_37	33282	34367	1086	1	0.458	11	AGGAG	GENOMAD.137476.CP	1.703e-68	239	0	0	0	1	NA	NA	NA	PF00482;TIGR02120;COG1459;K10934	type II secretion system protein F
s66.ctg000085c_38	34384	34998	615	1	0.446	11	GGAG/GAGG	GENOMAD.051002.PP	3.454e-62	213	0	0	0	1	NA	NA	NA	PF08805	PilS N terminal
s66.ctg000085c_39	35008	35568	561	1	0.437	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
s66.ctg000085c_40	35553	36197	645	1	0.425	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
s66.ctg000085c_41	36199	36720	522	1	0.462	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
s66.ctg000085c_42	36717	37568	852	1	0.428	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
s66.ctg000085c_43	38296	38796	501	-1	0.553	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
s66.ctg000085c_44	39259	39855	597	-1	0.538	11	GGAG/GAGG	GENOMAD.209149.VP	0.0001965	44	0	0	0	2561	Caudoviricetes	NA	NA	NA	NA
s66.ctg000085c_45	39852	40571	720	-1	0.562	11	AGGAG	GENOMAD.000503.PP	5.082e-46	168	0	1	0	1	NA	NA	NA	PF06952	PsiA protein
s66.ctg000085c_46	40568	41002	435	-1	0.543	11	GGAG/GAGG	GENOMAD.000184.PP	1.459e-68	228	0	1	0	1	NA	NA	NA	PF06290	Plasmid SOS inhibition protein (PsiB)
s66.ctg000085c_47	41057	43015	1959	-1	0.591	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
s66.ctg000085c_48	43077	43310	234	-1	0.496	11	GGAG/GAGG	GENOMAD.085680.PV	7.225e-36	130	0	0	0	1	NA	NA	NA	PF06006	Bacterial protein of unknown function (DUF905)
s66.ctg000085c_49	43367	43894	528	-1	0.585	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
s66.ctg000085c_50	44663	44854	192	-1	0.505	11	GGAG/GAGG	GENOMAD.000732.PP	2.093e-26	102	0	0	0	1	NA	NA	NA	NA	NA
s66.ctg000085c_51	44851	45273	423	-1	0.565	11	AGGAG	GENOMAD.001301.PP	3.415e-82	267	0	0	0	1	NA	NA	NA	PF07128	NA
s66.ctg000085c_52	45320	45745	426	-1	0.545	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
s66.ctg000085c_53	46156	46932	777	-1	0.611	11	AGGA/GGAG/GAGG	GENOMAD.000720.PP	6.637e-159	495	0	0	0	1	NA	NA	NA	NA	NA
s66.ctg000085c_54	46978	47412	435	-1	0.577	11	AGGAG	GENOMAD.000661.PP	1.231e-78	257	0	0	0	1	NA	NA	NA	PF07128	NA
s66.ctg000085c_55	47426	47647	222	-1	0.541	11	GGAGG	GENOMAD.069161.PP	4.047e-32	119	0	0	0	1	NA	NA	NA	NA	NA
s66.ctg000085c_56	47648	48331	684	-1	0.576	11	AGGAG	GENOMAD.160402.VP	4.168e-14	74	0	0	0	2561	Caudoviricetes	NA	NA	PF09445;K13581;COG3392;TIGR00755	Adenine-specific DNA methylase
s66.ctg000085c_57	48715	49641	927	-1	0.540	11	AGGAG	GENOMAD.002315.PP	1.044e-30	126	0	0	0	1	NA	NA	NA	PF06924	NA
s66.ctg000085c_58	50035	50283	249	1	0.510	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
s66.ctg000085c_59	50280	50717	438	1	0.557	11	None	GENOMAD.180534.VP	3.347e-05	45	0	0	0	2561	Caudoviricetes	NA	NA	NA	NA
s66.ctg000085c_60	50717	51991	1275	1	0.517	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
s66.ctg000085c_61	51993	52409	417	-1	0.429	11	AGxAGG/AGGxGG	GENOMAD.162517.PV	1.805e-12	66	0	1	0	1	NA	NA	NA	PF10784	Plasmid stability protein
s66.ctg000085c_62	52402	53382	981	-1	0.440	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
s66.ctg000085c_63	53796	54104	309	-1	0.447	11	None	GENOMAD.179232.PV	2.314e-12	64	0	0	0	1	NA	NA	NA	NA	NA
s66.ctg000085c_64	54191	54835	645	-1	0.428	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
s66.ctg000085c_65	55016	55795	780	-1	0.587	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
s66.ctg000085c_66	55795	56616	822	-1	0.507	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
s66.ctg000085c_67	56675	57025	351	-1	0.481	11	GGAG/GAGG	GENOMAD.170159.PP	1.162e-73	241	0	0	0	1	NA	NA	NA	NA	NA
s66.ctg000085c_68	57558	58484	927	1	0.571	11	GGA/GAG/AGG	GENOMAD.011771.PP	2.815e-67	233	0	1	0	1	NA	NA	NA	COG4691	NA
s66.ctg000085c_69	58534	58788	255	1	0.620	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
s66.ctg000085c_70	59286	59630	345	1	0.481	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
s66.ctg000085c_71	59804	60805	1002	-1	0.543	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
s66.ctg000085c_72	61167	61337	171	1	0.579	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
